Designator,Mid X,Mid Y,Rotation,Layer
C1,156.25,-91.915,270.0,top
C10,158.15,-121.325,90.0,top
C11,136.7,-109.175,0.0,top
C12,160.1,-119.775,90.0,top
C13,152.175,-94.215,90.0,top
C14,143.3,-98.05,90.0,top
C15,147.2375,-103.3625,90.0,top
C16,153.9,-94.215,90.0,top
C17,145.025,-98.05,90.0,top
C18,140.4,-96.075,270.0,top
C19,140.2,-104.425,270.0,top
C2,135.3,-95.025,180.0,top
C21,137.5,-75.0,90.0,bottom
C22,138.4,-96.075,270.0,top
C23,138.375,-100.2,90.0,top
C24,134.17,-105.275,90.0,top
C25,140.375,-100.2,90.0,top
C26,163.6,-108.675,90.0,top
C27,127.9,-106.0,90.0,top
C28,137.6,-105.255,90.0,top
C29,150.65,-113.875,90.0,top
C3,148.425,-98.05,270.0,top
C30,148.45,-108.625,90.0,top
C31,159.5,-108.675,90.0,top
C33,134.28,-69.45,0.0,bottom
C34,161.55,-108.675,90.0,top
C35,137.75,-65.94,0.0,top
C36,159.85,-96.85,90.0,bottom
C37,137.75,-67.64,0.0,top
C38,150.5,-108.625,90.0,top
C4,150.9375,-103.3625,90.0,top
C40,126.85,-74.0,90.0,bottom
C41,154.75,-85.715,180.0,top
C43,129.65,-69.6,0.0,bottom
C44,145.92,-86.1,180.0,bottom
C45,153.575,-102.745984,0.0,bottom
C46,154.225,-97.470984,180.0,bottom
C47,157.215,-102.15,90.0,bottom
C48,150.45,-94.215,90.0,top
C49,148.925,-93.645,270.0,top
C5,162.2,-119.775,90.0,top
C50,154.395,-87.3157,180.0,top
C51,154.395,-91.9157,180.0,top
C52,146.98,-95.815,180.0,top
C53,131.325,-74.775,0.0,top
C54,137.2,-89.8,90.0,top
C55,144.325,-93.39,0.0,top
C56,154.75,-82.29,180.0,top
C57,150.675,-92.0275,90.0,bottom
C58,144.325,-95.115,0.0,top
C59,154.75,-84.015,180.0,top
C6,135.3,-97.05,180.0,top
C60,150.825,-82.99,0.0,bottom
C61,145.275,-92.965,180.0,bottom
C62,144.5,-94.69,180.0,bottom
C63,140.625,-87.74,180.0,bottom
C64,151.75,-75.47,180.0,top
C65,142.0,-90.515,90.0,bottom
C66,146.45,-76.94,0.0,bottom
C67,149.169975,-87.309975,45.0,bottom
C68,140.625,-84.34,180.0,bottom
C69,155.3,-89.64,90.0,bottom
C7,159.5,-116.825,0.0,top
C70,151.05,-85.215,0.0,bottom
C71,154.225,-87.165,0.0,bottom
C72,143.3,-85.415,90.0,bottom
C73,150.57,-89.65,0.0,bottom
C74,139.525,-89.64,180.0,bottom
C75,145.9,-79.7,270.0,bottom
C76,154.225,-76.515,270.0,top
C77,145.91,-84.38,0.0,bottom
C78,153.575,-89.64,90.0,bottom
C79,137.225,-86.315,90.0,top
C8,162.75,-116.825,180.0,top
C80,140.625,-86.04,180.0,bottom
C81,155.95,-76.49,270.0,top
C82,147.325,-74.315,90.0,top
C83,151.75,-77.19,180.0,top
C84,139.525,-91.34,180.0,bottom
C85,155.225,-79.715,270.0,top
C86,131.2,-77.165,0.0,top
C87,141.55,-68.74,180.0,top
C88,145.05,-90.415,90.0,bottom
C89,153.5,-79.715,270.0,top
C9,144.725,-107.475,270.0,top
C90,128.75,-81.79,270.0,top
C91,145.55,-74.29,270.0,bottom
C92,143.775,-87.94,180.0,bottom
C93,128.75,-84.865,90.0,top
C94,147.325,-71.19,270.0,top
CN1,145.4,-124.925,0.0,top
CN2,161.01,-92.25,90.0,top
CN3,161.01,-72.3,90.0,top
CN4,161.01,-78.95,90.0,top
CN5,161.02,-85.6,90.0,top
CN6,161.355,-101.175,90.0,top
CN7,129.32,-93.575,90.0,top
D1,134.755,-119.145,90.0,top
D2,133.845,-87.215,180.0,top
FPC1,145.45,-62.185,180.0,top
L1,135.275,-99.7,0.0,top
L2,155.0,-110.425,90.0,top
L4,130.5,-73.0,0.0,bottom
L5,149.125,-100.995984,270.0,bottom
LED1,155.78,-72.37,180.0,top
LED2,161.15,-113.4,0.0,top
LED3,155.78,-70.69,180.0,top
LED4,143.98,-116.6,180.0,top
LED5,155.78,-69.0,180.0,top
R1,144.75,-111.925,270.0,top
R10,129.0,-100.85,90.0,top
R11,141.85,-104.425,270.0,top
R12,151.55,-120.525,270.0,top
R13,131.0,-106.0,270.0,top
R14,129.5,-106.0,270.0,top
R15,156.75,-96.85,270.0,bottom
R16,158.25,-96.85,270.0,bottom
R19,134.3,-70.8,0.0,bottom
R2,143.25,-111.925,90.0,top
R20,137.3,-70.8,0.0,bottom
R21,160.975,-91.07,90.0,bottom
R22,162.15,-73.47,270.0,bottom
R23,140.865,-61.19,180.0,bottom
R24,162.175,-91.07,90.0,bottom
R25,160.975,-73.47,270.0,bottom
R26,140.88,-62.39,180.0,bottom
R27,128.9,-95.075,270.0,bottom
R28,147.85,-89.29,90.0,bottom
R29,149.4,-81.24,180.0,bottom
R3,141.8,-111.925,90.0,top
R30,161.7,-99.85,270.0,bottom
R31,152.95,-72.37,180.0,top
R32,161.53,-111.9,180.0,top
R33,152.95,-70.7,180.0,top
R34,133.80533,-84.92033,45.0,bottom
R35,143.7,-115.1,0.0,top
R36,152.96,-69.0,180.0,top
R37,131.075,-87.19,180.0,top
R4,140.3,-111.925,90.0,top
R5,137.3,-111.925,90.0,top
R6,138.8,-111.925,90.0,top
R7,135.0,-112.295,90.0,top
R8,137.505,-119.095,270.0,top
R9,130.5,-100.85,270.0,top
SW1,155.825,-102.725,90.0,top
SW2,129.8,-71.225,0.0,top
U1,155.58,-94.21,180.0,top
U10,154.225,-100.195984,0.0,bottom
U11,145.45,-85.24,180.0,top
U12,132.85,-82.24,180.0,top
U13,142.35,-72.69,90.0,top
U2,146.7,-97.46,270.0,top
U3,149.0825,-103.3575,180.0,top
U4,132.175,-99.7,0.0,top
U5,136.255,-115.635,0.0,top
U6,141.02,-108.125,270.0,top
U7,154.995076,-118.260044,0.0,top
U9,134.8,-72.75,180.0,bottom
USB1,130.48,-115.545,270.0,top
X1,153.975,-89.6157,270.0,top
X2,147.025,-93.715,90.0,top
